state,capital,major_cities,tourist_attractions,culture,best_time_to_visit
[Previous states data...]
uttar pradesh,Lucknow,"Lucknow|Varanasi|Agra|Prayagraj|Kanpur|Mathura","Taj Mahal|Varanasi Ghats|Fatehpur Sikri|Sarnath|Dudhwa National Park|Mathura Temples","Rich cultural heritage:\nDance: Kathak\nFestivals: Kumbh Mela Dev Deepawali\nCuisine: Awadhi cuisine Tunday kebabs\nArt: Chikan embroidery\nCraft: Marble inlay work\nSpirituality: Buddhist and Hindu sites","October to March"
madhya pradesh,Bhopal,"Bhopal|Indore|Gwalior|Jabalpur|Ujjain|Khajuraho","Khajuraho Temples|Sanchi Stupa|Bandhavgarh|Pachmarhi|Ujjain Temples|Gwalior Fort","Central Indian culture:\nDance: Karma Sailana\nFestivals: Lokrang Ujjain Simhastha\nCuisine: Poha Jalebi Kebabs\nArt: Gond paintings\nHandicrafts: Chanderi silk\nTribal heritage","October to March"
andhra pradesh,Amaravati,"Visakhapatnam|Vijayawada|Guntur|Tirupati|Nellore","Tirupati Temple|Araku Valley|Visakhapatnam Beach|Undavalli Caves|Gandikota|Lepakshi","Telugu traditions:\nDance: Kuchipudi\nFestivals: Ugadi Sankranti\nCuisine: Andhra spicy food\nArt: Kalamkari\nHandicrafts: Etikoppaka toys\nTemple architecture","October to March"
odisha,Bhubaneswar,"Bhubaneswar|Cuttack|Puri|Rourkela|Sambalpur|Berhampur","Konark Sun Temple|Puri Jagannath Temple|Chilika Lake|Udayagiri Caves|Bhitarkanika|Simlipal","Odia heritage:\nDance: Odissi\nFestivals: Rath Yatra\nCuisine: Dalma Chhena Poda\nArt: Pattachitra\nHandicrafts: Silver filigree\nTemple architecture","October to March"
chhattisgarh,Raipur,"Raipur|Bhilai|Bilaspur|Korba|Rajnandgaon","Chitrakote Falls|Barnawapara Wildlife|Maikal Hills|Bhoramdeo Temple|Tirathgarh Falls","Tribal culture:\nDance: Panthi Sua Nacha\nFestivals: Bastar Dussehra\nCuisine: Chila Faraa\nArt: Godna art\nHandicrafts: Bell metal craft\nTribal traditions","October to February"
jharkhand,Ranchi,"Ranchi|Jamshedpur|Dhanbad|Bokaro|Deoghar","Hundru Falls|Baidyanath Temple|Betla National Park|Parasnath Hill|Sun Temple","Tribal heritage:\nDance: Chhau Paika\nFestivals: Sarhul Karma\nCuisine: Dhuska Pittha\nArt: Pyatkar paintings\nHandicrafts: Bamboo craft\nTribal customs","October to March"
assam,Dispur,"Guwahati|Silchar|Dibrugarh|Jorhat|Nagaon","Kaziranga National Park|Kamakhya Temple|Majuli Island|Manas National Park|Tea Gardens","Assamese culture:\nDance: Bihu\nFestivals: Bihu celebrations\nCuisine: Fish curry Pitha\nArt: Mask making\nHandicrafts: Silk weaving\nTea culture","November to March"
uttarakhand,Dehradun,"Dehradun|Haridwar|Rishikesh|Nainital|Mussoorie","Kedarnath|Badrinath|Valley of Flowers|Jim Corbett|Nainital Lake","Mountain culture:\nDance: Langvir Nritya\nFestivals: Kumbh Mela\nCuisine: Kafuli Bhang ki Chutney\nArt: Aipan art\nSpiritual tourism\nYoga traditions","March to June and September to November"
himachal pradesh,Shimla,"Shimla|Manali|Dharamshala|Kullu|Solan","Rohtang Pass|Mall Road Shimla|Dharamshala Cricket Stadium|Kullu Valley|Spiti Valley","Mountain heritage:\nDance: Nati Karma\nFestivals: Kullu Dussehra\nCuisine: Dham Siddu\nArt: Thangka painting\nWoolen crafts\nBuddhist culture","March to June and September to November"
jammu and kashmir,Srinagar,"Srinagar|Jammu|Leh|Kargil|Baramulla","Dal Lake|Gulmarg|Vaishno Devi|Pangong Lake|Magnetic Hill","Kashmir heritage:\nDance: Rouf Ladakhi\nFestivals: Hemis Festival\nCuisine: Wazwan Kahwa\nArt: Pashmina shawls\nHandicrafts: Carpet weaving\nBuddhist monasteries","April to October"
tripura,Agartala,"Agartala|Udaipur|Dharmanagar|Kailashahar","Ujjayanta Palace|Neermahal|Unakoti|Tripura Sundari Temple|Dumboor Lake","Tripuri culture:\nDance: Hojagiri\nFestivals: Kharchi Puja\nCuisine: Mui Borok\nArt: Bamboo craft\nTextiles: Traditional weaving\nRoyal heritage","October to March"
meghalaya,Shillong,"Shillong|Tura|Jowai|Nongpoh","Living Root Bridges|Cherrapunji|Mawsynram|Shillong Peak|Elephant Falls","Khasi culture:\nDance: Ka Shad Mastieh\nFestivals: Nongkrem Dance\nCuisine: Jadoh Tungrymbai\nArt: Bamboo craft\nLiving root bridges\nMatrilineal society","September to May"
manipur,Imphal,"Imphal|Thoubal|Bishnupur|Churachandpur","Loktak Lake|Kangla Fort|INA Memorial|Keibul Lamjao|Moreh","Manipuri traditions:\nDance: Manipuri dance\nFestivals: Yaoshang\nCuisine: Eromba\nArt: Pottery\nHandicrafts: Weaving\nMartial arts: Thang Ta","October to March"
nagaland,Kohima,"Kohima|Dimapur|Mokokchung|Wokha","Dzukou Valley|Hornbill Festival venue|Khonoma Village|Triple Falls","Naga heritage:\nDance: War dance\nFestivals: Hornbill Festival\nCuisine: Smoked meat dishes\nArt: Wood carving\nTribal traditions\nTextile weaving","October to May"
arunachal pradesh,Itanagar,"Itanagar|Naharlagun|Pasighat|Tawang","Tawang Monastery|Ziro Valley|Namdapha National Park|Sela Pass","Buddhist and tribal culture:\nDance: Bardo Chham\nFestivals: Losar\nCuisine: Thukpa Momos\nArt: Thangka painting\nBuddhist monasteries\nTribal heritage","October to March"
mizoram,Aizawl,"Aizawl|Lunglei|Champhai|Kolasib","Phawngpui Peak|Reiek Heritage Village|Dampa Tiger Reserve|Vantawng Falls","Mizo culture:\nDance: Cheraw\nFestivals: Chapchar Kut\nCuisine: Misa Mach Poora\nArt: Bamboo craft\nTextile weaving\nBamboo dance","October to March"
sikkim,Gangtok,"Gangtok|Namchi|Pelling|Ravangla","Nathula Pass|Tsomgo Lake|Rumtek Monastery|Kanchenjunga Base Camp","Sikkimese heritage:\nDance: Mask dances\nFestivals: Losar\nCuisine: Momos Thukpa\nArt: Thangka painting\nBuddhist culture\nMonasteries","March to May and October to December"
goa,Panaji,"Panaji|Margao|Vasco da Gama|Mapusa","Calangute Beach|Basilica of Bom Jesus|Fort Aguada|Dudhsagar Falls","Indo-Portuguese culture:\nDance: Fugdi\nFestivals: Carnival\nCuisine: Seafood Feni\nArt: Portuguese architecture\nBeach culture\nNightlife","October to March"
haryana,Chandigarh,"Gurugram|Faridabad|Panipat|Ambala","Kurukshetra|Sultanpur Bird Sanctuary|Pinjore Gardens|Surajkund","Haryanvi traditions:\nDance: Haryanvi folk\nFestivals: Teej\nCuisine: Kadhi Pakoda\nArt: Phulkari work\nRural heritage\nWrestling culture","October to March"